"DisplayName","UserPrincipalName","Mail","AccountEnabled","Department","JobTitle","OfficeLocation","CreatedDateTime"
"On-Premises Directory Synchronization Service Account","ADToAADSyncServiceAccount@DakiniNetwork803.onmicrosoft.com",,"True",,,,"09.07.2025 10:32:00"
"carol","carol@DakiniNetwork803.onmicrosoft.com","carol@DakiniNetwork803.onmicrosoft.com","True",,,,"09.07.2025 10:38:23"
"donald","donald@DakiniNetwork803.onmicrosoft.com","donald@DakiniNetwork803.onmicrosoft.com","True",,,,"09.07.2025 10:38:23"
"Donald Fitzai","DonaldFitzai@DakiniNetwork803.onmicrosoft.com","DonaldFitzai@DakiniNetwork803.onmicrosoft.com","True",,,,"05.07.2025 13:15:41"
"Elisa Ionescu","elisa@DakiniNetwork803.onmicrosoft.com",,"True",,,,"05.03.2026 14:28:20"
"IntersiteTest","IntersiteTest@DakiniNetwork803.onmicrosoft.com",,"True",,,,"05.09.2025 17:04:27"
"karmapa","karmapa@DakiniNetwork803.onmicrosoft.com",,"True",,,,"13.09.2025 16:09:38"
"marpa","marpa@DakiniNetwork803.onmicrosoft.com",,"True",,,,"28.08.2025 11:34:09"
"padma","padma@DakiniNetwork803.onmicrosoft.com",,"True",,,,"10.07.2025 15:03:40"
"ReplTestUser","ReplTestUser@DakiniNetwork803.onmicrosoft.com",,"False",,,,"28.08.2025 12:04:10"
"Shared Mailbox","SharedMailbox@DakiniNetwork803.onmicrosoft.com","SharedMailbox@DakiniNetwork803.onmicrosoft.com","False",,,,"21.07.2025 16:30:47"
"test2","test2@DakiniNetwork803.onmicrosoft.com",,"True",,,,"05.09.2025 17:34:28"
"Test User","testuser@dakininetwork803.onmicrosoft.com","testuser@dakininetwork803.onmicrosoft.com","True",,,,"05.07.2025 14:14:52"
"Tilopa","tilopa@DakiniNetwork803.onmicrosoft.com","tilopa@DakiniNetwork803.onmicrosoft.com","True",,,,"09.07.2025 09:48:21"
"UserIntersite","UserIntersite@DakiniNetwork803.onmicrosoft.com",,"True",,,,"05.09.2025 17:34:28"
